family,n_param_rows,mean_skewness,median_skewness,iqr_skewness,mean_excess_kurt,median_excess_kurt,iqr_excess_kurt,tail_weight_index,regime
exgaussian,27,0.39818311155126895,0.1784036157757455,0.6343064640856086,0.859550022632143,0.26802384005565605,1.2707129965455721,0.08934128001855202,symmetric / light-tailed
exwald,27,2.343908819823354,1.8717899453363191,1.025235447542547,10.772569800780309,5.448906344245115,9.885463387599355,1.8163021147483718,right-skewed / heavy-tailed
invgauss,9,3.049468079337972,2.8400893705876635,1.382867768932572,16.040242106974503,12.62480641870018,10.245555803048799,4.208268806233393,right-skewed / heavy-tailed
lognormal,6,2.3096354188873995,1.5928264113128614,2.8157932946839166,15.045523686499106,4.491466848674882,27.60672955190213,1.4971556162249609,right-skewed / heavy-tailed
normal,8,-0.011408759511209319,-0.013490579995959975,0.0422988616589004,-0.04981674820931381,-0.04943725993080683,0.05451100051097135,-0.016479086643602276,symmetric / light-tailed
weibull,12,2.1826856588640027,1.318247508429661,2.4682062119682295,16.453821970818915,2.960154982008519,16.613352112489014,0.986718327336173,right-skewed
