family,param_row,label,n_finite,mean,variance,skewness,excess_kurtosis,param_mean,param_sd,param_meanlog,param_sdlog,param_shape,param_scale,param_mu,param_sigma,param_tau,param_lambda,param_rate
exwald,11,exwald_row11_mu=1.5_lambda=0.5_rate=0.5,5000,3.4854990784279565,10.790501716897928,2.8862440830060208,15.60703753304415,NA,NA,NA,NA,NA,NA,1.5,NA,NA,0.5,0.5
exwald,12,exwald_row12_mu=2_lambda=0.5_rate=0.5,5000,4.091235853284057,21.4444033282556,4.227335649229253,31.441334485615634,NA,NA,NA,NA,NA,NA,2,NA,NA,0.5,0.5
exwald,13,exwald_row13_mu=1_lambda=1_rate=0.5,5000,3.0504619995185753,5.291551329171163,1.6461056392157516,3.8545859715528135,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0.5
exwald,14,exwald_row14_mu=1.5_lambda=1_rate=0.5,5000,3.505049335851354,7.076564555199494,1.7922015168573835,5.085909389877942,NA,NA,NA,NA,NA,NA,1.5,NA,NA,1,0.5
exwald,15,exwald_row15_mu=2_lambda=1_rate=0.5,5000,4.027215268621665,12.31457708566888,2.7977954925339183,15.649981999397788,NA,NA,NA,NA,NA,NA,2,NA,NA,1,0.5
exwald,16,exwald_row16_mu=1_lambda=2_rate=0.5,5000,3.005442206846581,4.634042898524069,1.9299564279010875,6.767082416945591,NA,NA,NA,NA,NA,NA,1,NA,NA,2,0.5
exwald,17,exwald_row17_mu=1.5_lambda=2_rate=0.5,5000,3.483149875231688,5.426152796361573,1.519970043380873,3.35031857643526,NA,NA,NA,NA,NA,NA,1.5,NA,NA,2,0.5
exwald,18,exwald_row18_mu=2_lambda=2_rate=0.5,5000,3.9725917952169345,8.070283928492408,1.894057796286156,6.07188008865597,NA,NA,NA,NA,NA,NA,2,NA,NA,2,0.5
exwald,19,exwald_row19_mu=1_lambda=0.5_rate=1,5000,1.947272561842084,2.7575817513093925,2.5343910061667527,10.724086648498606,NA,NA,NA,NA,NA,NA,1,NA,NA,0.5,1
exwald,20,exwald_row20_mu=1.5_lambda=0.5_rate=1,5000,2.459394052332797,7.33397311963139,4.0461336869179165,27.502536236589513,NA,NA,NA,NA,NA,NA,1.5,NA,NA,0.5,1
exwald,21,exwald_row21_mu=2_lambda=0.5_rate=1,5000,2.9742010950147617,16.67119146638477,5.4788177654802395,48.887089427292246,NA,NA,NA,NA,NA,NA,2,NA,NA,0.5,1
exwald,22,exwald_row22_mu=1_lambda=1_rate=1,5000,2.0046693490743555,1.9907105318719989,1.732610130636248,4.752303313537948,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1
exwald,23,exwald_row23_mu=1.5_lambda=1_rate=1,5000,2.5237127430014525,4.45240629864104,2.639787957296547,12.78436426466949,NA,NA,NA,NA,NA,NA,1.5,NA,NA,1,1
exwald,24,exwald_row24_mu=2_lambda=1_rate=1,5000,3.0409701972895826,8.760213680211224,3.03323940868829,13.59149011644191,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1
exwald,25,exwald_row25_mu=1_lambda=2_rate=1,5000,2.007419847828882,1.513877778444186,1.466388471332174,3.1965825778365335,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1
exwald,26,exwald_row26_mu=1.5_lambda=2_rate=1,5000,2.487823954488718,2.694630099379397,1.6847175133207193,4.246291395073549,NA,NA,NA,NA,NA,NA,1.5,NA,NA,2,1
exwald,27,exwald_row27_mu=2_lambda=2_rate=1,5000,3.012627052848464,5.288206623785903,2.7604039650146457,15.229124122127654,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1
