"dataset_id","parent_dataset_id","domain","source_url","accessed_at","source_file","source_md5","loader","variable","transform","subset_rule","family_hint","n","skewness","excess_kurtosis","support_sign","theta_star","load_ok","load_error","notes","specialist_id","mode","condition_id","contamination_rate","outlier_scale_mad","contamination_type","m_requested","m_effective","contam_condition","contamination_mode","natural_z_threshold","subsample_R","paired_bootstrap_B","estimator","mean_mse","q95_mse","bias","n_replicates","mean_requested_tail_n","mean_empirical_tail_n","mean_natural_pool_n","mean_natural_body_n","preregistration_version","profile_gate_enabled","profile_gate_policy","benchmark_policy_primary","oracle_audit_secondary_only","paired_ci_policy","strict_ci_contains_point_policy","fdr_policy","output_layout_policy","pareto_tolerance_relative","wins_saturation_cap","futility_stop_enabled","depth_probe_secondary_only"
"UCI_wine_red_residual_sugar__depth_upper_tail_enriched","UCI_wine_red_residual_sugar","positive_skew_tabular","https://archive.ics.uci.edu/ml/machine-learning-databases/wine-quality/winequality-red.csv","2026-06-16 01:50:12 -0400",NA,NA,"inline_depth_probe","residual.sugar","raw","full; depth_probe=upper_tail_enriched","lognormal",1599,3.70193468697911,18.2144490276051,"strictly_positive",2.83864915572233,TRUE,NA," V5 secondary within-dataset depth probe; not independent N.","TAX-Q1R008","original_regime",1,0.3,1.5,"clustered_upper",300,300,"0.3|1.5|clustered_upper","endogenous",3,800,500,"winsorized_0.05",0.129838095960655,0.20896404382602,NA,800,90,90,253,1346,"V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"UCI_wine_red_residual_sugar__depth_upper_tail_enriched","UCI_wine_red_residual_sugar","positive_skew_tabular","https://archive.ics.uci.edu/ml/machine-learning-databases/wine-quality/winequality-red.csv","2026-06-16 01:50:12 -0400",NA,NA,"inline_depth_probe","residual.sugar","raw","full; depth_probe=upper_tail_enriched","lognormal",1599,3.70193468697911,18.2144490276051,"strictly_positive",2.83864915572233,TRUE,NA," V5 secondary within-dataset depth probe; not independent N.","TAX-Q1R008","original_regime",3,0.3,1.5,"clustered_upper",500,500,"0.3|1.5|clustered_upper","endogenous",3,800,500,"winsorized_0.05",0.125656137545065,0.174927541101322,NA,800,150,150,253,1346,"V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"UCI_wine_red_residual_sugar__depth_upper_tail_enriched","UCI_wine_red_residual_sugar","positive_skew_tabular","https://archive.ics.uci.edu/ml/machine-learning-databases/wine-quality/winequality-red.csv","2026-06-16 01:50:12 -0400",NA,NA,"inline_depth_probe","residual.sugar","raw","full; depth_probe=upper_tail_enriched","lognormal",1599,3.70193468697911,18.2144490276051,"strictly_positive",2.83864915572233,TRUE,NA," V5 secondary within-dataset depth probe; not independent N.","TAX-Q1R008","original_regime",2,0.3,3,"clustered_upper",300,300,"0.3|3|clustered_upper","endogenous",3,800,500,"winsorized_0.05",0.130348884416164,0.204591155984661,NA,800,90,90,253,1346,"V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"UCI_wine_red_residual_sugar__depth_upper_tail_enriched","UCI_wine_red_residual_sugar","positive_skew_tabular","https://archive.ics.uci.edu/ml/machine-learning-databases/wine-quality/winequality-red.csv","2026-06-16 01:50:12 -0400",NA,NA,"inline_depth_probe","residual.sugar","raw","full; depth_probe=upper_tail_enriched","lognormal",1599,3.70193468697911,18.2144490276051,"strictly_positive",2.83864915572233,TRUE,NA," V5 secondary within-dataset depth probe; not independent N.","TAX-Q1R008","original_regime",4,0.3,3,"clustered_upper",500,500,"0.3|3|clustered_upper","endogenous",3,800,500,"winsorized_0.05",0.127784994632001,0.174357095073883,NA,800,150,150,253,1346,"V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"UCI_wine_red_residual_sugar__depth_upper_tail_enriched","UCI_wine_red_residual_sugar","positive_skew_tabular","https://archive.ics.uci.edu/ml/machine-learning-databases/wine-quality/winequality-red.csv","2026-06-16 01:50:12 -0400",NA,NA,"inline_depth_probe","residual.sugar","raw","full; depth_probe=upper_tail_enriched","lognormal",1599,3.70193468697911,18.2144490276051,"strictly_positive",2.83864915572233,TRUE,NA," V5 secondary within-dataset depth probe; not independent N.","TAX-Q1R008","original_regime",5,0.3,1.5,"clustered_upper",1000,1000,"0.3|1.5|clustered_upper","endogenous",3,500,500,"winsorized_0.1",0.0139921857119,0.017697871258452,NA,500,300,253,253,1346,"V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"UCI_wine_red_residual_sugar__depth_upper_tail_enriched","UCI_wine_red_residual_sugar","positive_skew_tabular","https://archive.ics.uci.edu/ml/machine-learning-databases/wine-quality/winequality-red.csv","2026-06-16 01:50:12 -0400",NA,NA,"inline_depth_probe","residual.sugar","raw","full; depth_probe=upper_tail_enriched","lognormal",1599,3.70193468697911,18.2144490276051,"strictly_positive",2.83864915572233,TRUE,NA," V5 secondary within-dataset depth probe; not independent N.","TAX-Q1R008","original_regime",6,0.3,3,"clustered_upper",1000,1000,"0.3|3|clustered_upper","endogenous",3,500,500,"winsorized_0.1",0.0140777238452678,0.0178485227124859,NA,500,300,253,253,1346,"V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"UCI_wine_red_residual_sugar__depth_upper_tail_enriched","UCI_wine_red_residual_sugar","positive_skew_tabular","https://archive.ics.uci.edu/ml/machine-learning-databases/wine-quality/winequality-red.csv","2026-06-16 01:50:12 -0400",NA,NA,"inline_depth_probe","residual.sugar","raw","full; depth_probe=upper_tail_enriched","lognormal",1599,3.70193468697911,18.2144490276051,"strictly_positive",2.83864915572233,TRUE,NA," V5 secondary within-dataset depth probe; not independent N.","TAX-Q1R008","original_regime",1,0.3,1.5,"clustered_upper",300,300,"0.3|1.5|clustered_upper","endogenous",3,800,500,"winsorized_0.1",0.0756259586361231,0.115912457939008,NA,800,90,90,253,1346,"V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"UCI_wine_red_residual_sugar__depth_upper_tail_enriched","UCI_wine_red_residual_sugar","positive_skew_tabular","https://archive.ics.uci.edu/ml/machine-learning-databases/wine-quality/winequality-red.csv","2026-06-16 01:50:12 -0400",NA,NA,"inline_depth_probe","residual.sugar","raw","full; depth_probe=upper_tail_enriched","lognormal",1599,3.70193468697911,18.2144490276051,"strictly_positive",2.83864915572233,TRUE,NA," V5 secondary within-dataset depth probe; not independent N.","TAX-Q1R008","original_regime",3,0.3,1.5,"clustered_upper",500,500,"0.3|1.5|clustered_upper","endogenous",3,800,500,"winsorized_0.1",0.0738356980453033,0.0979236281169316,NA,800,150,150,253,1346,"V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"UCI_wine_red_residual_sugar__depth_upper_tail_enriched","UCI_wine_red_residual_sugar","positive_skew_tabular","https://archive.ics.uci.edu/ml/machine-learning-databases/wine-quality/winequality-red.csv","2026-06-16 01:50:12 -0400",NA,NA,"inline_depth_probe","residual.sugar","raw","full; depth_probe=upper_tail_enriched","lognormal",1599,3.70193468697911,18.2144490276051,"strictly_positive",2.83864915572233,TRUE,NA," V5 secondary within-dataset depth probe; not independent N.","TAX-Q1R008","original_regime",2,0.3,3,"clustered_upper",300,300,"0.3|3|clustered_upper","endogenous",3,800,500,"winsorized_0.1",0.0759438897261925,0.11754104418562,NA,800,90,90,253,1346,"V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"UCI_wine_red_residual_sugar__depth_upper_tail_enriched","UCI_wine_red_residual_sugar","positive_skew_tabular","https://archive.ics.uci.edu/ml/machine-learning-databases/wine-quality/winequality-red.csv","2026-06-16 01:50:12 -0400",NA,NA,"inline_depth_probe","residual.sugar","raw","full; depth_probe=upper_tail_enriched","lognormal",1599,3.70193468697911,18.2144490276051,"strictly_positive",2.83864915572233,TRUE,NA," V5 secondary within-dataset depth probe; not independent N.","TAX-Q1R008","original_regime",4,0.3,3,"clustered_upper",500,500,"0.3|3|clustered_upper","endogenous",3,800,500,"winsorized_0.1",0.0747366528419288,0.0989275561519533,NA,800,150,150,253,1346,"V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
