distribution,specialist_regime_id,regime_key,status,skip_reason,n_scenarios,n_exact_scenarios,n_neighbor_scenarios,n_neighbor_regimes,neighborhood_used,neighborhood_trigger_scenarios,n_train_scenarios,n_heldout_scenarios,specialist_seed,ga_candidate_k,ga_candidate_source,ga_candidate_protected_elite,protected_elite_origin,protected_elite_one_stage_only,n_protected_elites_competing,ga_robust_q95_mse,ga_robust_mean_mse,gate_pass,final_selected_type,final_selected_estimator,final_selected_q95_mse,final_selected_mean_mse,best_benchmark_q95_estimator,best_benchmark_mean_estimator,ga_rel_improvement_q95,ga_rel_improvement_mean,profile_audit_run,profile_audit_scope,profile_match_level,profile_audit_n_available,profile_audit_n_scenarios,profile_audit_excluded_source_scenarios,profile_audit_num_samples,profile_audit_bootstrap_B,profile_audit_seed,profile_audit_ga_q95_mse,profile_audit_ga_mean_mse,profile_to_heldout_q95_ratio,profile_to_heldout_mean_ratio,profile_audit_gate_pass,profile_audit_final_selected_type,profile_audit_final_selected_estimator,profile_audit_best_benchmark_q95_estimator,profile_audit_best_benchmark_mean_estimator,profile_audit_best_benchmark_q95_mse,profile_audit_best_benchmark_mean_mse,profile_audit_rel_improvement_q95,profile_audit_rel_improvement_mean,profile_audit_interpretation,global_audit_run,global_audit_scenario_frac,global_audit_min_scenarios,global_audit_n_scenarios,global_audit_num_samples,global_audit_bootstrap_B,global_audit_seed,global_audit_ga_q95_mse,global_audit_ga_mean_mse,heldout_ga_q95_mse,heldout_ga_mean_mse,global_to_heldout_q95_ratio,global_to_heldout_mean_ratio,global_audit_gate_pass,global_audit_final_selected_type,global_audit_final_selected_estimator,global_audit_best_benchmark_q95_estimator,global_audit_best_benchmark_mean_estimator,global_audit_best_benchmark_q95_mse,global_audit_best_benchmark_mean_mse,global_audit_rel_improvement_q95,global_audit_rel_improvement_mean,global_audit_interpretation,experimental_condition_key,condition_summary,shape_regime,tail_regime,mechanism_regime,contamination_regime,contamination_direction,contamination_structure,rate_regime,scale_regime,scale_group_regime,rate_regime_order,scale_regime_order,scale_group_regime_order,severity_regime,sample_size_regime,exact_contamination_rates,exact_outlier_scales,exact_contamination_types,exact_sample_sizes,w_mean,w_median,w_trimmed20,w_harmonic,w_geometric,w_mode_hsm,w_mode_parzen,w_trimean,w_huber,w_biweight,winner_weight_vector,specialist_halving_rung,n_stage1_candidates,n_final_survivors,specialist_halving_keep_frac,specialist_halving_stage1_budget_frac,specialist_stage1_gens_frac,specialist_final_gens_frac,specialist_stage1_pop_size,specialist_final_pop_size,run_seed,seed_run_id
invgauss,REG03,invgauss | right_skewed_duration | heavy_right_tail | upper_tail | clustered | low | extreme_scale,evaluated,NA,16,2,14,2,TRUE,10,12,4,95104,5,current_specialist_finalist,FALSE,NA,FALSE,1,0.0457470242644233,0.019268420032840954,TRUE,ga_composite,robust,0.0457470242644233,0.019268420032840954,huber,huber,0.5831826300354002,0.7453721379073787,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,40,24,16,20,40,574231680,0.07813253131019111,0.04338232690656689,1.7079259813024725,2.2514729713372916,TRUE,ga_composite,robust,mean,mean,0.10668491753317519,0.0536969393007371,0.26763282835961955,0.19208939146810053,profile_matched_generalization_bonus,TRUE,0.1,24,24,20,40,574231680,0.07813253131019111,0.04338232690656689,0.0457470242644233,0.019268420032840954,1.7079259813024725,2.2514729713372916,TRUE,ga_composite,robust,mean,mean,0.10668491753317519,0.0536969393007371,0.26763282835961955,0.19208939146810053,profile_matched_generalization_bonus,invgauss | right_skewed_duration | heavy_right_tail | contaminated | upper_tail | clustered | low | extreme_scale | extreme_severity,shape=right_skewed_duration | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=clustered | severity=extreme_severity | rates={0.02} | scales={30} | types={clustered_upper},right_skewed_duration,heavy_right_tail,clustered_upper,contaminated,upper_tail,clustered,low,extreme_scale,extreme_scale,1,4,3,extreme_severity,NA,0.02,30,clustered_upper,300;500;1000,0.48167913320925815,0.18070100929349714,0.06918784617468898,0.019796837463844287,0.0502695531774139,0.042050371958600584,0.006205977060396834,0.0347126895010108,0.07735813326866917,0.03803844889262019,0.48167913;0.18070101;0.06918785;0.01979684;0.05026955;0.04205037;0.00620598;0.03471269;0.07735813;0.03803845,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,101,GA_REGIME_FIRST_20260525_190322
exgaussian,REG01,exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | bimodal | bimodal_mixture | high | mid_high_scale,evaluated,NA,24,24,0,0,FALSE,10,17,7,95102,2,current_specialist_finalist,FALSE,NA,FALSE,0,0.026621017991333127,0.007947795662137642,FALSE,benchmark,biweight,0.026060895657703916,0.0074410626830824535,biweight,biweight,-0.02149282745169731,-0.06809954445608506,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,66,24,24,20,40,298972232,0.03429522291037228,0.008026344460371624,1.2882761628518236,1.0098830921884787,FALSE,benchmark,biweight,biweight,biweight,0.032422822923088,0.007728234183441042,-0.05774944370723533,-0.03857417746614817,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,298972232,0.03429522291037228,0.008026344460371624,0.026621017991333127,0.007947795662137642,1.2882761628518236,1.0098830921884787,FALSE,benchmark,biweight,biweight,biweight,0.032422822923088,0.007728234183441042,-0.05774944370723533,-0.03857417746614817,benchmark_dominant_local_and_profile,exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | contaminated | bimodal | bimodal_mixture | high | moderate_scale | high_severity,shape=gaussian_core_right_skewed_tail | tail=exponential_right_tail | contamination=contaminated | direction=bimodal | structure=bimodal_mixture | severity=high_severity | rates={0.15;0.2} | scales={4.5;6;9;12;15;20} | types={mixture_bimodal_far;mixture_bimodal_near},gaussian_core_right_skewed_tail,exponential_right_tail,mixture_bimodal_near,contaminated,bimodal,bimodal_mixture,high,moderate_scale,mid_high_scale,3,2,2,high_severity,NA,0.15;0.2,4.5;6;9;12;15;20,mixture_bimodal_far;mixture_bimodal_near,300;500;1000,0.013705760665221651,0.1152441142091503,0.0374895045974541,1e-12,1e-12,0.008848683919520343,8.244819359332824e-4,0.06986567189355321,0.0454823895830631,0.7085393931941041,0.01370576;0.11524411;0.0374895;0;0;0.00884868;0.00082448;0.06986567;0.04548239;0.70853939,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,101,GA_REGIME_FIRST_20260525_190322
exgaussian,REG02,exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | upper_tail | tail_outlier | low | mid_high_scale,evaluated,NA,12,12,0,0,FALSE,10,9,3,95103,6,protected_previous_stage_elite,TRUE,previous_stage_elite,TRUE,1,0.011226645225785483,0.0027025466429537667,FALSE,benchmark,trimean,0.01117832316380738,0.0026810027516544596,trimean,biweight,-0.004322836374084719,-0.0080357587391421,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,24,24,12,20,40,1438617527,0.025419059923704725,0.009143372844569357,2.2641723694143083,3.383243306836252,FALSE,benchmark,biweight,biweight,biweight,0.021388399198976785,0.006907763445360792,-0.18845078993720643,-0.3236372259369057,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,1438617527,0.025419059923704725,0.009143372844569357,0.011226645225785483,0.0027025466429537667,2.2641723694143083,3.383243306836252,FALSE,benchmark,biweight,biweight,biweight,0.021388399198976785,0.006907763445360792,-0.18845078993720643,-0.3236372259369057,benchmark_dominant_local_and_profile,exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | contaminated | upper_tail | tail_outlier | low | moderate_scale | moderate_severity,shape=gaussian_core_right_skewed_tail | tail=exponential_right_tail | contamination=contaminated | direction=upper_tail | structure=tail_outlier | severity=moderate_severity | rates={0.02} | scales={9;20} | types={upper_tail},gaussian_core_right_skewed_tail,exponential_right_tail,upper_tail,contaminated,upper_tail,tail_outlier,low,moderate_scale,mid_high_scale,1,2,2,moderate_severity,NA,0.02,9;20,upper_tail,300;1000,0.013209248843209974,0.10115732195683029,0.03422750361483928,1e-12,1e-12,0.007550169651802065,7.276445977591084e-4,0.06579247081529119,0.04627403097414193,0.7310616095441262,0.01320925;0.10115732;0.0342275;0;0;0.00755017;0.00072764;0.06579247;0.04627403;0.73106161,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,101,GA_REGIME_FIRST_20260525_190322
exgaussian,REG03,exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | symmetric | clustered | extreme | mid_high_scale,evaluated,NA,24,6,18,3,TRUE,10,17,7,95104,5,current_specialist_finalist,FALSE,NA,FALSE,1,0.023147114875079252,0.006553146258847986,FALSE,benchmark,biweight,0.021424901063577487,0.005423280363546915,biweight,biweight,-0.08038374629179314,-0.20833625026786992,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,30,24,24,20,40,430779175,0.028215866313870033,0.006528774568510508,1.218979836792919,0.9962809175362365,FALSE,benchmark,biweight,biweight,biweight,0.024598313799148373,0.005907712404833874,-0.14706506080509635,-0.10512735235102753,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,430779175,0.028215866313870033,0.006528774568510508,0.023147114875079252,0.006553146258847986,1.218979836792919,0.9962809175362365,FALSE,benchmark,biweight,biweight,biweight,0.024598313799148373,0.005907712404833874,-0.14706506080509635,-0.10512735235102753,benchmark_dominant_local_and_profile,exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | contaminated | symmetric | clustered | extreme | moderate_scale | extreme_severity,shape=gaussian_core_right_skewed_tail | tail=exponential_right_tail | contamination=contaminated | direction=symmetric | structure=clustered | severity=extreme_severity | rates={0.3} | scales={4.5;6;9;20} | types={clustered_symmetric},gaussian_core_right_skewed_tail,exponential_right_tail,clustered_symmetric,contaminated,symmetric,clustered,extreme,moderate_scale,mid_high_scale,4,2,2,extreme_severity,NA,0.3,4.5;6;9;20,clustered_symmetric,300;500;1000,0.01138706543232123,0.07924875848367434,0.06592449664679133,1e-12,1e-12,0.006680950592374257,2.979271513790072e-4,0.14166618443998563,0.28119383611707227,0.4136007811344019,0.01138707;0.07924876;0.0659245;0;0;0.00668095;0.00029793;0.14166618;0.28119384;0.41360078,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,101,GA_REGIME_FIRST_20260525_190322
exwald,REG01,exwald | first_passage_right_skewed | heavy_first_passage_tail | bimodal | bimodal_mixture | extreme | extreme_scale,evaluated,NA,18,2,16,2,TRUE,10,13,5,95102,3,current_specialist_finalist,FALSE,NA,FALSE,0,0.29413376907222016,0.11883468515475466,TRUE,ga_composite,robust,0.29413376907222016,0.11883468515475466,geometric,geometric,0.2197039347158539,0.24995260059281585,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,24,24,18,20,40,967234027,0.7196543058785959,0.4967163269917514,2.446690525015674,4.179893491035159,FALSE,benchmark,huber,huber,mean,0.4685619449712808,0.1777348732389412,-0.5358786892566986,-1.794703807632545,regime_specific_profile_no_free_lunch,TRUE,0.1,24,24,20,40,967234027,0.7196543058785959,0.4967163269917514,0.29413376907222016,0.11883468515475466,2.446690525015674,4.179893491035159,FALSE,benchmark,huber,huber,mean,0.4685619449712808,0.1777348732389412,-0.5358786892566986,-1.794703807632545,regime_specific_profile_no_free_lunch,exwald | first_passage_right_skewed | heavy_first_passage_tail | contaminated | bimodal | bimodal_mixture | extreme | extreme_scale | extreme_severity,shape=first_passage_right_skewed | tail=heavy_first_passage_tail | contamination=contaminated | direction=bimodal | structure=bimodal_mixture | severity=extreme_severity | rates={0.3} | scales={30} | types={mixture_bimodal_far;mixture_bimodal_near},first_passage_right_skewed,heavy_first_passage_tail,mixture_bimodal_near,contaminated,bimodal,bimodal_mixture,extreme,extreme_scale,extreme_scale,4,4,3,extreme_severity,NA,0.3,30,mixture_bimodal_far;mixture_bimodal_near,300;500;1000,0.03231680599037053,0.030677481841023677,0.12147521729865944,0.0069136264528269304,0.5334132700653783,0.00806023948208352,0.0053526600659054915,0.017244380604297282,0.07229662648276139,0.17224969171669346,0.03231681;0.03067748;0.12147522;0.00691363;0.53341327;0.00806024;0.00535266;0.01724438;0.07229663;0.17224969,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,101,GA_REGIME_FIRST_20260525_190322
exwald,REG02,exwald | first_passage_right_skewed | heavy_first_passage_tail | upper_tail | tail_outlier | high | extreme_scale,evaluated,NA,24,2,22,3,TRUE,10,17,7,95103,1,current_specialist_finalist,FALSE,NA,FALSE,0,0.3807789252613001,0.20091420270545357,TRUE,ga_composite,robust,0.3807789252613001,0.20091420270545357,huber,huber,0.08933197991465534,0.06200839060561483,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,46,24,24,20,40,2106879322,0.7201557770942794,0.40562638562049746,1.8912700501956592,2.0189034929160252,FALSE,benchmark,biweight,biweight,biweight,0.6329310496591863,0.3259294892074079,-0.13781078915613795,-0.2445218952315459,regime_specific_profile_no_free_lunch,TRUE,0.1,24,24,20,40,2106879322,0.7201557770942794,0.40562638562049746,0.3807789252613001,0.20091420270545357,1.8912700501956592,2.0189034929160252,FALSE,benchmark,biweight,biweight,biweight,0.6329310496591863,0.3259294892074079,-0.13781078915613795,-0.2445218952315459,regime_specific_profile_no_free_lunch,exwald | first_passage_right_skewed | heavy_first_passage_tail | contaminated | upper_tail | tail_outlier | high | extreme_scale | extreme_severity,shape=first_passage_right_skewed | tail=heavy_first_passage_tail | contamination=contaminated | direction=upper_tail | structure=tail_outlier | severity=extreme_severity | rates={0.15;0.2} | scales={30} | types={upper_tail},first_passage_right_skewed,heavy_first_passage_tail,upper_tail,contaminated,upper_tail,tail_outlier,high,extreme_scale,extreme_scale,3,4,3,extreme_severity,NA,0.15;0.2,30,upper_tail,300;500;1000,0.05675196376506366,0.14814917725826338,0.008696504562785118,0.0043674834839690395,0.008093811855377164,0.002254886205571171,5.690097754125236e-4,0.004198135701239172,0.09468152009556666,0.6722375072967521,0.05675196;0.14814918;0.0086965;0.00436748;0.00809381;0.00225489;0.00056901;0.00419814;0.09468152;0.67223751,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,101,GA_REGIME_FIRST_20260525_190322
exwald,REG03,exwald | first_passage_right_skewed | heavy_first_passage_tail | symmetric | heavy_tailed_t | extreme | extreme_scale,evaluated,NA,15,1,14,2,TRUE,10,11,4,95104,2,current_specialist_finalist,FALSE,NA,FALSE,1,0.6826341360094621,0.3511034671819926,FALSE,benchmark,huber,0.63247928912975,0.3117121988910376,huber,huber,-0.07929879719641497,-0.1263706342933287,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,27,24,15,20,40,1099040970,0.6261046864601328,0.33011054529630673,0.9171892430098707,0.9402087309045443,FALSE,benchmark,huber,huber,huber,0.5948605362029892,0.2978215511278689,-0.05252348803725222,-0.10841725202910593,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,1099040970,0.6261046864601328,0.33011054529630673,0.6826341360094621,0.3511034671819926,0.9171892430098707,0.9402087309045443,FALSE,benchmark,huber,huber,huber,0.5948605362029892,0.2978215511278689,-0.05252348803725222,-0.10841725202910593,benchmark_dominant_local_and_profile,exwald | first_passage_right_skewed | heavy_first_passage_tail | contaminated | symmetric | heavy_tailed_t | extreme | extreme_scale | extreme_severity,shape=first_passage_right_skewed | tail=heavy_first_passage_tail | contamination=contaminated | direction=symmetric | structure=heavy_tailed_t | severity=extreme_severity | rates={0.3} | scales={30} | types={symmetric_t},first_passage_right_skewed,heavy_first_passage_tail,symmetric_t,contaminated,symmetric,heavy_tailed_t,extreme,extreme_scale,extreme_scale,4,4,3,extreme_severity,NA,0.3,30,symmetric_t,300;500;1000,0.008911233159886104,0.01963095231034847,0.0024199812778977056,0.001546941228835012,0.025316557937311673,8.164138598774734e-4,1.379839074115341e-4,0.00500464214266034,0.8134163568229322,0.12279893735283952,0.00891123;0.01963095;0.00241998;0.00154694;0.02531656;0.00081641;0.00013798;0.00500464;0.81341636;0.12279894,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,101,GA_REGIME_FIRST_20260525_190322
normal,REG01,normal | symmetric | light_tail | symmetric | clustered | high | mid_high_scale,evaluated,NA,12,12,0,0,FALSE,10,9,3,95203,1,current_specialist_finalist,FALSE,NA,FALSE,0,0.06453843874478836,0.01639046783768591,FALSE,benchmark,biweight,0.0650954257735095,0.016136460008873026,biweight,biweight,0.00855646955364495,-0.01574123622265787,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,33,24,12,20,40,1133568399,0.0680789242403284,0.015149137558091563,1.05485855504633,0.9242651098912216,FALSE,benchmark,biweight,biweight,biweight,0.06477702791986568,0.014464494547583579,-0.05097326052835342,-0.04733266055086776,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,1133568399,0.0680789242403284,0.015149137558091563,0.06453843874478836,0.01639046783768591,1.05485855504633,0.9242651098912216,FALSE,benchmark,biweight,biweight,biweight,0.06477702791986568,0.014464494547583579,-0.05097326052835342,-0.04733266055086776,benchmark_dominant_local_and_profile,normal | symmetric | light_tail | contaminated | symmetric | clustered | high | moderate_scale | high_severity,shape=symmetric | tail=light_tail | contamination=contaminated | direction=symmetric | structure=clustered | severity=high_severity | rates={0.15;0.2} | scales={4.5;6;9;12;15;20} | types={clustered_symmetric},symmetric,light_tail,clustered_symmetric,contaminated,symmetric,clustered,high,moderate_scale,mid_high_scale,3,2,2,high_severity,NA,0.15;0.2,4.5;6;9;12;15;20,clustered_symmetric,300;500;1000,0.0049334211876367485,0.006232220000580931,0.061440675551091964,1e-12,1e-12,6.842942169431159e-4,1.0223240727435204e-4,0.02122555855147661,0.054254260882705393,0.851127337200291,0.00493342;0.00623222;0.06144068;0;0;0.00068429;0.00010223;0.02122556;0.05425426;0.85112734,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,202,GA_REGIME_FIRST_20260526_164654
normal,REG02,normal | symmetric | light_tail | bimodal | bimodal_mixture | high | extreme_scale,evaluated,NA,24,4,20,3,TRUE,10,17,7,95204,1,current_specialist_finalist,FALSE,NA,FALSE,0,0.08233049932430377,0.020501358739666527,FALSE,benchmark,biweight,0.08221188321689002,0.020167246234643783,biweight,biweight,-0.0014428097590146749,-0.016567086111748355,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_structure_adjacent_rate_scale,46,24,24,20,40,125730047,0.058529347989009245,0.012742741948194521,0.7109072393421111,0.6215559714546138,FALSE,benchmark,biweight,biweight,biweight,0.05479900927766018,0.012183992750909074,-0.06807310497859184,-0.04585928510158532,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,125730047,0.058529347989009245,0.012742741948194521,0.08233049932430377,0.020501358739666527,0.7109072393421111,0.6215559714546138,FALSE,benchmark,biweight,biweight,biweight,0.05479900927766018,0.012183992750909074,-0.06807310497859184,-0.04585928510158532,benchmark_dominant_local_and_profile,normal | symmetric | light_tail | contaminated | bimodal | bimodal_mixture | high | extreme_scale | extreme_severity,shape=symmetric | tail=light_tail | contamination=contaminated | direction=bimodal | structure=bimodal_mixture | severity=extreme_severity | rates={0.15;0.2} | scales={30} | types={mixture_bimodal_far;mixture_bimodal_near},symmetric,light_tail,mixture_bimodal_near,contaminated,bimodal,bimodal_mixture,high,extreme_scale,extreme_scale,3,4,3,extreme_severity,NA,0.15;0.2,30,mixture_bimodal_far;mixture_bimodal_near,300;500;1000,0.004880037888422529,0.009233379817181406,0.07370510726827972,1e-12,1e-12,8.452617806761101e-4,2.0399690217039128e-4,0.022400655741951575,0.039825099868398196,0.8489064607309201,0.00488004;0.00923338;0.07370511;0;0;0.00084526;0.000204;0.02240066;0.0398251;0.84890646,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,202,GA_REGIME_FIRST_20260526_164654
normal,REG03,normal | symmetric | light_tail | upper_tail | tail_outlier | low | low_scale,evaluated,NA,20,4,16,2,TRUE,10,14,6,95205,6,protected_previous_stage_elite,TRUE,previous_stage_elite,TRUE,1,0.0825704691488387,0.030919882011755617,FALSE,benchmark,huber,0.08023543709513327,0.03010320479826696,huber,biweight,-0.029102253794763215,-0.027129244840686944,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,44,24,20,20,40,1265375342,0.12259851522043295,0.043131403972978856,1.4847743567734402,1.3949407683763324,FALSE,benchmark,biweight,biweight,biweight,0.11045521033812129,0.03786697958895035,-0.10993872398621214,-0.1390241429613692,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,1265375342,0.12259851522043295,0.043131403972978856,0.0825704691488387,0.030919882011755617,1.4847743567734402,1.3949407683763324,FALSE,benchmark,biweight,biweight,biweight,0.11045521033812129,0.03786697958895035,-0.10993872398621214,-0.1390241429613692,benchmark_dominant_local_and_profile,normal | symmetric | light_tail | contaminated | upper_tail | tail_outlier | low | low_scale | low_severity,shape=symmetric | tail=light_tail | contamination=contaminated | direction=upper_tail | structure=tail_outlier | severity=low_severity | rates={0.02} | scales={3} | types={upper_tail},symmetric,light_tail,upper_tail,contaminated,upper_tail,tail_outlier,low,low_scale,low_scale,1,1,1,low_severity,NA,0.02,3,upper_tail,300;1000,0.004897178619239864,0.006193907392657258,0.061468345521129,1e-12,1e-12,6.397436094167023e-4,8.851233581450585e-5,0.021091147850582435,0.054244402971598535,0.8513767616975617,0.00489718;0.00619391;0.06146835;0;0;0.00063974;8.851e-05;0.02109115;0.0542444;0.85137676,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,202,GA_REGIME_FIRST_20260526_164654
lognormal,REG01,lognormal | right_skewed | heavy_right_tail | point_mass | point_mass | moderate | extreme_scale,evaluated,NA,24,2,22,3,TRUE,10,17,7,95203,1,current_specialist_finalist,FALSE,NA,FALSE,0,0.1405523647504901,0.08047088729081635,TRUE,ga_composite,robust,0.1405523647504901,0.08047088729081635,huber,huber,0.022960875954779015,0.025726565161470993,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_adjacent_rate_scale,312,32,24,20,40,905727388,0.36902742054217375,0.25207848322727433,2.6255511331641355,3.1325426090201685,FALSE,benchmark,huber,huber,huber,0.3161398342675074,0.21745412683320325,-0.16729175049085165,-0.15922602572849873,regime_specific_profile_no_free_lunch,TRUE,0.1,24,32,20,40,905727388,0.36902742054217375,0.25207848322727433,0.1405523647504901,0.08047088729081635,2.6255511331641355,3.1325426090201685,FALSE,benchmark,huber,huber,huber,0.3161398342675074,0.21745412683320325,-0.16729175049085165,-0.15922602572849873,regime_specific_profile_no_free_lunch,lognormal | right_skewed | heavy_right_tail | contaminated | point_mass | point_mass | moderate | extreme_scale | extreme_severity,shape=right_skewed | tail=heavy_right_tail | contamination=contaminated | direction=point_mass | structure=point_mass | severity=extreme_severity | rates={0.05} | scales={30} | types={point_mass},right_skewed,heavy_right_tail,point_mass,contaminated,point_mass,point_mass,moderate,extreme_scale,extreme_scale,2,4,3,extreme_severity,NA,0.05,30,point_mass,300;500;1000,0.17117642674773656,0.06794604593322393,0.08119184534746952,0.00780224782039286,0.17771856456319088,0.022461691879420143,0.0013797074820691016,0.05527501835506499,0.18209390039050036,0.23295455148093172,0.17117643;0.06794605;0.08119185;0.00780225;0.17771856;0.02246169;0.00137971;0.05527502;0.1820939;0.23295455,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,202,GA_REGIME_FIRST_20260526_164654
lognormal,REG02,lognormal | right_skewed | heavy_right_tail | point_mass | point_mass | low | extreme_scale,evaluated,NA,16,2,14,2,TRUE,10,12,4,95204,3,current_specialist_finalist,FALSE,NA,FALSE,1,0.1576724130545628,0.08478894615862266,TRUE,ga_composite,robust,0.1576724130545628,0.08478894615862266,huber,huber,0.0548220604988761,0.19695501037523178,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_adjacent_rate_scale,264,27,16,20,40,2045372683,0.36797963642352816,0.18924773535154657,2.3338238395188022,2.231985935941119,FALSE,benchmark,mean,mean,mean,0.15244329169531548,0.03997589536662182,-1.4138788419603652,-3.734046194893395,regime_specific_profile_no_free_lunch,TRUE,0.1,24,27,20,40,2045372683,0.36797963642352816,0.18924773535154657,0.1576724130545628,0.08478894615862266,2.3338238395188022,2.231985935941119,FALSE,benchmark,mean,mean,mean,0.15244329169531548,0.03997589536662182,-1.4138788419603652,-3.734046194893395,regime_specific_profile_no_free_lunch,lognormal | right_skewed | heavy_right_tail | contaminated | point_mass | point_mass | low | extreme_scale | extreme_severity,shape=right_skewed | tail=heavy_right_tail | contamination=contaminated | direction=point_mass | structure=point_mass | severity=extreme_severity | rates={0.01;0.02} | scales={30} | types={point_mass},right_skewed,heavy_right_tail,point_mass,contaminated,point_mass,point_mass,low,extreme_scale,extreme_scale,1,4,3,extreme_severity,NA,0.01;0.02,30,point_mass,300;500;1000,0.2688398834604422,0.04329274190316336,0.06877384956122085,0.010591273630923846,0.22844086108771167,0.020422686217489282,0.004482771001036491,0.14908109057779495,0.09273295831940322,0.11334188424081414,0.26883988;0.04329274;0.06877385;0.01059127;0.22844086;0.02042269;0.00448277;0.14908109;0.09273296;0.11334188,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,202,GA_REGIME_FIRST_20260526_164654
lognormal,REG03,lognormal | right_skewed | heavy_right_tail | upper_tail | tail_outlier | extreme | low_scale,evaluated,NA,18,2,16,2,TRUE,10,13,5,95205,1,current_specialist_finalist,FALSE,NA,FALSE,0,0.11960214341755922,0.0663349956309747,FALSE,benchmark,huber,0.10136332637171921,0.05851101185474066,huber,huber,-0.17993506821959201,-0.13371814173243365,TRUE,intra_family_profile_matched_fixed_weight_no_retraining,family_direction_adjacent_rate_scale,30,24,18,20,40,1037534331,0.2883827329664162,0.17628014182272955,2.41118365209554,2.6574229807857144,FALSE,benchmark,median,median,median,0.11541257787340943,0.0691365618082814,-1.498711477368011,-1.549738332519515,benchmark_dominant_local_and_profile,TRUE,0.1,24,24,20,40,1037534331,0.2883827329664162,0.17628014182272955,0.11960214341755922,0.0663349956309747,2.41118365209554,2.6574229807857144,FALSE,benchmark,median,median,median,0.11541257787340943,0.0691365618082814,-1.498711477368011,-1.549738332519515,benchmark_dominant_local_and_profile,lognormal | right_skewed | heavy_right_tail | contaminated | upper_tail | tail_outlier | extreme | low_scale | extreme_severity,shape=right_skewed | tail=heavy_right_tail | contamination=contaminated | direction=upper_tail | structure=tail_outlier | severity=extreme_severity | rates={0.3} | scales={1.5;3} | types={upper_tail},right_skewed,heavy_right_tail,upper_tail,contaminated,upper_tail,tail_outlier,extreme,low_scale,low_scale,4,1,1,extreme_severity,NA,0.3,1.5;3,upper_tail,300;500;1000,0.17117642674773656,0.06794604593322393,0.08119184534746952,0.00780224782039286,0.17771856456319088,0.022461691879420143,0.0013797074820691016,0.05527501835506499,0.18209390039050036,0.23295455148093172,0.17117643;0.06794605;0.08119185;0.00780225;0.17771856;0.02246169;0.00137971;0.05527502;0.1820939;0.23295455,final_full_budget,5,3,0.5,0.5,0.25,1,NA,100,202,GA_REGIME_FIRST_20260526_164654
