architecture,global_training_removed,hpf1_role,hpf2_role,specialist_halving_role,heldout_gate_role,pre_neighborhood_selection_role,profile_matched_audit_role,interfamily_profile_matched_audit_role,interfamily_profile_audit_run,interfamily_profile_audit_rows,stage_elite_inheritance,multiseed_ready,stage_elite_rule,stage_elite_protection_duration,legacy_global_transfer_removed,legacy_global_audit_csv_aliases_removed,compact_thesis_summary_written,benchmark_gate_kept,retraining_after_heldout,run_seed,seed_run_id
regime_first_hpf_screening_specialist_halving_with_profile_matched_audit,TRUE,broad_regime_screen_on_60pct_light_subset,richer_regime_screen_on_80pct_full_subset,reduced_budget_screen_then_top5_full_budget_survivor_evaluation_with_early_stopping,select_final_winner_by_regime_without_extra_retraining,coarse_regime_grouping_then_elite_neighborhood_then_eligibility,fixed_weight_intra_family_profile_matched_generalization_without_retraining,fixed_weight_cross_family_profile_matched_generalization_for_GA_winners_only_without_retraining,TRUE,27,TRUE,TRUE,HPF1_to_HPF2__HPF2_to_specialist_stage1__stage1_to_final_heldout,one_stage_only,TRUE,TRUE,TRUE,TRUE,FALSE,101,GA_REGIME_FIRST_20260525_190322
regime_first_hpf_screening_specialist_halving_with_profile_matched_audit,TRUE,broad_regime_screen_on_60pct_light_subset,richer_regime_screen_on_80pct_full_subset,reduced_budget_screen_then_top5_full_budget_survivor_evaluation_with_early_stopping,select_final_winner_by_regime_without_extra_retraining,coarse_regime_grouping_then_elite_neighborhood_then_eligibility,fixed_weight_intra_family_profile_matched_generalization_without_retraining,fixed_weight_cross_family_profile_matched_generalization_for_GA_winners_only_without_retraining,TRUE,21,TRUE,TRUE,HPF1_to_HPF2__HPF2_to_specialist_stage1__stage1_to_final_heldout,one_stage_only,TRUE,TRUE,TRUE,TRUE,FALSE,202,GA_REGIME_FIRST_20260526_164654
