interfamily_profile_audit_run,interfamily_profile_audit_scope,source_family,source_specialist_regime_id,source_regime_key,target_family,interfamily_profile_match_level,interfamily_profile_n_available,interfamily_profile_n_scenarios,interfamily_profile_scenario_frac,interfamily_profile_min_scenarios,interfamily_profile_num_samples,interfamily_profile_bootstrap_B,interfamily_profile_seed,source_heldout_gate_pass,source_heldout_ga_q95_mse,source_heldout_ga_mean_mse,target_profile_gate_pass,target_profile_ga_q95_mse,target_profile_ga_mean_mse,target_profile_best_benchmark_q95_estimator,target_profile_best_benchmark_mean_estimator,target_profile_best_benchmark_q95_mse,target_profile_best_benchmark_mean_mse,target_profile_rel_improvement_q95,target_profile_rel_improvement_mean,cross_family_to_source_q95_ratio,cross_family_to_source_mean_ratio,interfamily_profile_interpretation,source_shape_regime,source_tail_regime,source_contamination_direction,source_contamination_structure,source_rate_regime,source_scale_regime,source_scale_group_regime,source_severity_regime,w_mean,w_median,w_trimmed20,w_harmonic,w_geometric,w_mode_hsm,w_mode_parzen,w_trimean,w_huber,w_biweight,winner_weight_vector,run_seed,seed_run_id
TRUE,cross_family_profile_matched_fixed_weight_no_retraining,weibull,REG03,weibull | right_skewed_flexible_shape | flexible_tail | upper_tail | clustered | moderate | mid_high_scale,invgauss,interfamily_direction_structure_adjacent_rate_scale,54,24,0.1,24,20,40,1879710338,TRUE,0.0630236896997149,0.021681537788179675,TRUE,0.11046992261825396,0.06290623875112997,huber,huber,0.13270732543795039,0.09618145182343496,0.16756725935168018,0.3459628903610644,1.752831723163946,2.9013734801838535,interfamily_profile_generalization_bonus,right_skewed_flexible_shape,flexible_tail,upper_tail,clustered,moderate,moderate_scale,mid_high_scale,moderate_severity,0.5203101132827311,0.22393152125275353,0.02223104863546025,0.005373298516111081,0.06657573440151389,0.012010562768049477,0.0018396133194680834,0.01629539060109755,0.06882117883590763,0.06261153838690732,0.52031011;0.22393152;0.02223105;0.0053733;0.06657573;0.01201056;0.00183961;0.01629539;0.06882118;0.06261154,101,GA_REGIME_FIRST_20260525_190322
TRUE,cross_family_profile_matched_fixed_weight_no_retraining,weibull,REG03,weibull | right_skewed_flexible_shape | flexible_tail | upper_tail | clustered | moderate | mid_high_scale,exgaussian,interfamily_direction_structure_adjacent_rate_scale,54,24,0.1,24,20,40,1267474908,TRUE,0.0630236896997149,0.021681537788179675,FALSE,0.5242808047315649,0.3819957830801048,biweight,biweight,0.03203885603399895,0.0133981222669473,-15.363905258035603,-27.511143236464104,8.318789446020292,17.61848199119633,source_regime_specific_cross_family_no_free_lunch,right_skewed_flexible_shape,flexible_tail,upper_tail,clustered,moderate,moderate_scale,mid_high_scale,moderate_severity,0.5203101132827311,0.22393152125275353,0.02223104863546025,0.005373298516111081,0.06657573440151389,0.012010562768049477,0.0018396133194680834,0.01629539060109755,0.06882117883590763,0.06261153838690732,0.52031011;0.22393152;0.02223105;0.0053733;0.06657573;0.01201056;0.00183961;0.01629539;0.06882118;0.06261154,101,GA_REGIME_FIRST_20260525_190322
TRUE,cross_family_profile_matched_fixed_weight_no_retraining,invgauss,REG01,invgauss | right_skewed_duration | heavy_right_tail | point_mass | point_mass | low | extreme_scale,lognormal,interfamily_direction_structure_adjacent_rate_scale,28,24,0.1,24,20,40,714470457,TRUE,0.0767629871080259,0.035646081293070064,FALSE,0.31320443507063467,0.10903178069777048,huber,huber,0.2109873821928343,0.14250309776425996,-0.4844699802185017,0.23488132953871313,4.0801491300200805,3.0587311911873063,source_regime_specific_cross_family_no_free_lunch,right_skewed_duration,heavy_right_tail,point_mass,point_mass,low,extreme_scale,extreme_scale,extreme_severity,0.46017204889325874,0.17433043459419026,0.06728728403828556,0.021919235722117115,0.06133843004369838,0.0466541042930768,0.005721810334265822,0.03781330073205078,0.06417593079015309,0.06058742055890349,0.46017205;0.17433043;0.06728728;0.02191924;0.06133843;0.0466541;0.00572181;0.0378133;0.06417593;0.06058742,101,GA_REGIME_FIRST_20260525_190322
TRUE,cross_family_profile_matched_fixed_weight_no_retraining,invgauss,REG01,invgauss | right_skewed_duration | heavy_right_tail | point_mass | point_mass | low | extreme_scale,weibull,interfamily_direction_structure_adjacent_rate_scale,28,24,0.1,24,20,40,1327587999,TRUE,0.0767629871080259,0.035646081293070064,TRUE,0.1569389616410865,0.06266076345288167,huber,huber,0.2140187609643944,0.15156539218992232,0.26670465274087524,0.5865760478160489,2.0444613680573327,1.7578584006457298,interfamily_profile_generalization_bonus,right_skewed_duration,heavy_right_tail,point_mass,point_mass,low,extreme_scale,extreme_scale,extreme_severity,0.46017204889325874,0.17433043459419026,0.06728728403828556,0.021919235722117115,0.06133843004369838,0.0466541042930768,0.005721810334265822,0.03781330073205078,0.06417593079015309,0.06058742055890349,0.46017205;0.17433043;0.06728728;0.02191924;0.06133843;0.0466541;0.00572181;0.0378133;0.06417593;0.06058742,101,GA_REGIME_FIRST_20260525_190322
TRUE,cross_family_profile_matched_fixed_weight_no_retraining,invgauss,REG01,invgauss | right_skewed_duration | heavy_right_tail | point_mass | point_mass | low | extreme_scale,exgaussian,interfamily_direction_structure_adjacent_rate_scale,28,24,0.1,24,20,40,1790934154,TRUE,0.0767629871080259,0.035646081293070064,FALSE,0.29304822676804065,0.20203811695463877,biweight,biweight,0.023153311320432565,0.008596006101991974,-11.656860295303492,-22.50371958034281,3.817571954981721,5.667891381604659,source_regime_specific_cross_family_no_free_lunch,right_skewed_duration,heavy_right_tail,point_mass,point_mass,low,extreme_scale,extreme_scale,extreme_severity,0.46017204889325874,0.17433043459419026,0.06728728403828556,0.021919235722117115,0.06133843004369838,0.0466541042930768,0.005721810334265822,0.03781330073205078,0.06417593079015309,0.06058742055890349,0.46017205;0.17433043;0.06728728;0.02191924;0.06133843;0.0466541;0.00572181;0.0378133;0.06417593;0.06058742,101,GA_REGIME_FIRST_20260525_190322
TRUE,cross_family_profile_matched_fixed_weight_no_retraining,invgauss,REG02,invgauss | right_skewed_duration | heavy_right_tail | upper_tail | tail_outlier | moderate | mid_high_scale,lognormal,interfamily_direction_structure_adjacent_rate_scale,54,24,0.1,24,20,40,1653434609,TRUE,0.03958585942532434,0.015288027933788225,FALSE,0.30352632461100937,0.15481771317503587,huber,huber,0.23182699197831744,0.15504661517258334,-0.3092794847594305,0.0014763430810224157,7.667544143532384,10.126728825680972,source_regime_specific_cross_family_no_free_lunch,right_skewed_duration,heavy_right_tail,upper_tail,tail_outlier,moderate,moderate_scale,mid_high_scale,moderate_severity,0.519627630561884,0.19038827620256427,0.05537154779772771,0.015577798549204188,0.04852476288138251,0.03552253106275654,0.006155877349222809,0.023074404506232462,0.06363103958054536,0.04212613150848015,0.51962763;0.19038828;0.05537155;0.0155778;0.04852476;0.03552253;0.00615588;0.0230744;0.06363104;0.04212613,101,GA_REGIME_FIRST_20260525_190322
TRUE,cross_family_profile_matched_fixed_weight_no_retraining,invgauss,REG02,invgauss | right_skewed_duration | heavy_right_tail | upper_tail | tail_outlier | moderate | mid_high_scale,weibull,interfamily_direction_structure_adjacent_rate_scale,54,24,0.1,24,20,40,871266462,TRUE,0.03958585942532434,0.015288027933788225,FALSE,0.2189288974922447,0.0793010013708966,huber,huber,0.1656984875431658,0.11756636139918629,-0.32124861691867107,0.3254788153053196,5.530482365797985,5.18713085226941,source_regime_specific_cross_family_no_free_lunch,right_skewed_duration,heavy_right_tail,upper_tail,tail_outlier,moderate,moderate_scale,mid_high_scale,moderate_severity,0.519627630561884,0.19038827620256427,0.05537154779772771,0.015577798549204188,0.04852476288138251,0.03552253106275654,0.006155877349222809,0.023074404506232462,0.06363103958054536,0.04212613150848015,0.51962763;0.19038828;0.05537155;0.0155778;0.04852476;0.03552253;0.00615588;0.0230744;0.06363104;0.04212613,101,GA_REGIME_FIRST_20260525_190322
TRUE,cross_family_profile_matched_fixed_weight_no_retraining,invgauss,REG02,invgauss | right_skewed_duration | heavy_right_tail | upper_tail | tail_outlier | moderate | mid_high_scale,exgaussian,interfamily_direction_structure_adjacent_rate_scale,54,24,0.1,24,20,40,241186540,TRUE,0.03958585942532434,0.015288027933788225,FALSE,1.1875084356003605,0.8852110991172056,biweight,biweight,0.049786583909134076,0.022922652730466217,-22.851976623759533,-37.617306185643386,29.998298705892818,57.90224238816894,source_regime_specific_cross_family_no_free_lunch,right_skewed_duration,heavy_right_tail,upper_tail,tail_outlier,moderate,moderate_scale,mid_high_scale,moderate_severity,0.519627630561884,0.19038827620256427,0.05537154779772771,0.015577798549204188,0.04852476288138251,0.03552253106275654,0.006155877349222809,0.023074404506232462,0.06363103958054536,0.04212613150848015,0.51962763;0.19038828;0.05537155;0.0155778;0.04852476;0.03552253;0.00615588;0.0230744;0.06363104;0.04212613,101,GA_REGIME_FIRST_20260525_190322
TRUE,cross_family_profile_matched_fixed_weight_no_retraining,invgauss,REG03,invgauss | right_skewed_duration | heavy_right_tail | upper_tail | clustered | low | extreme_scale,lognormal,interfamily_direction_structure_adjacent_rate_scale,28,24,0.1,24,20,40,444915114,TRUE,0.0457470242644233,0.019268420032840954,TRUE,0.22745695681523384,0.08605066980519323,huber,huber,0.2456687024479861,0.16903578506713823,0.07413132178094194,0.4909322320625408,4.9720601605807895,4.465891321346701,interfamily_profile_generalization_bonus,right_skewed_duration,heavy_right_tail,upper_tail,clustered,low,extreme_scale,extreme_scale,extreme_severity,0.48167913320925815,0.18070100929349714,0.06918784617468898,0.019796837463844287,0.0502695531774139,0.042050371958600584,0.006205977060396834,0.0347126895010108,0.07735813326866917,0.03803844889262019,0.48167913;0.18070101;0.06918785;0.01979684;0.05026955;0.04205037;0.00620598;0.03471269;0.07735813;0.03803845,101,GA_REGIME_FIRST_20260525_190322
TRUE,cross_family_profile_matched_fixed_weight_no_retraining,invgauss,REG03,invgauss | right_skewed_duration | heavy_right_tail | upper_tail | clustered | low | extreme_scale,weibull,interfamily_direction_structure_adjacent_rate_scale,28,24,0.1,24,20,40,414944925,TRUE,0.0457470242644233,0.019268420032840954,TRUE,0.16121143187878978,0.058305512963327116,huber,huber,0.19888673100417203,0.145522689980716,0.18943093355183413,0.5993373062877491,3.523976356220338,3.025962318702087,interfamily_profile_generalization_bonus,right_skewed_duration,heavy_right_tail,upper_tail,clustered,low,extreme_scale,extreme_scale,extreme_severity,0.48167913320925815,0.18070100929349714,0.06918784617468898,0.019796837463844287,0.0502695531774139,0.042050371958600584,0.006205977060396834,0.0347126895010108,0.07735813326866917,0.03803844889262019,0.48167913;0.18070101;0.06918785;0.01979684;0.05026955;0.04205037;0.00620598;0.03471269;0.07735813;0.03803845,101,GA_REGIME_FIRST_20260525_190322
TRUE,cross_family_profile_matched_fixed_weight_no_retraining,invgauss,REG03,invgauss | right_skewed_duration | heavy_right_tail | upper_tail | clustered | low | extreme_scale,exgaussian,interfamily_direction_structure_adjacent_rate_scale,28,24,0.1,24,20,40,838922573,TRUE,0.0457470242644233,0.019268420032840954,FALSE,0.3207864455137437,0.18857915416764862,biweight,biweight,0.01823919687744492,0.005254396502832275,-16.587750582036268,-34.88978373274821,7.012181680988632,9.786954708089649,source_regime_specific_cross_family_no_free_lunch,right_skewed_duration,heavy_right_tail,upper_tail,clustered,low,extreme_scale,extreme_scale,extreme_severity,0.48167913320925815,0.18070100929349714,0.06918784617468898,0.019796837463844287,0.0502695531774139,0.042050371958600584,0.006205977060396834,0.0347126895010108,0.07735813326866917,0.03803844889262019,0.48167913;0.18070101;0.06918785;0.01979684;0.05026955;0.04205037;0.00620598;0.03471269;0.07735813;0.03803845,101,GA_REGIME_FIRST_20260525_190322
